id,srcOrganization,destOrganization,description,cluster,amountUSD,Funding status,year
90881,European Commission's Humanitarian Aid and Civil Protection Department,People in Need,Provision of food security assistance to the drought affected population in southern Balkh province of Afghanistan (ECHO/-AS/BUD/2011/91020),Agriculture,1676100.00,Paid Contribution,2012
91057,"Italy, Government of",United Nations Children's Fund,"Strenghthen health services in the province of Herat with special emphasis on maternal and neonatal care"" project",Health,665642.00,Paid Contribution,2012
91248,"Germany, Government of",United Nations Mine Action Service,"To reduce the threat of injury and death posed by mines, ERW and illegal/abandoned stockpile ammunition for all Afghan citizens and to release safe land, previously contaminated by mines/ERW, for agriculture, grazing, infrastructure and other development activities to promote increased opportunities for sustainable socio-economic growth (VN05 440.70 AFG 01/12)",Protection - Mine Action,1971000.00,Paid Contribution,2012
91341,"Afghanistan, Government of",Central Emergency Response Fund,"to be allocated to specific emergencies, agencies and projects",,1000.00,Paid Contribution,2012
91546,European Commission's Humanitarian Aid and Civil Protection Department,Oxfam Novib Netherlands,Emergency drought response in Faryab and Sari Pul provinces of Northern Afghanistan (ECHO/-AS/BUD/2011/91023),Agriculture,771111.00,Commitment,2012
91699,"United States of America, Government of",,Administrative Support (USAID Afghanistan) [USAID/OFDA],Coordination and support services,753788.00,Commitment,2012
91869,Afghanistan ERF (until 2014),Afghanistan ERF (until 2014),Emergency Response Fund--to be allocated to specific projects,,3149001.00,Paid Contribution,2012
91914,,World Food Programme,Common Humanitarian Air Transport Services (from Cost Recovery),Logistics,6682685.00,Paid Contribution,2012
92029,"Denmark, Government of",International Federation of Red Cross and Red Crescent Societies,"IFRC appeal: Health, and capacity building of the red crescent society (46.H.7-1-194.)",,352189.00,Commitment,2012
92030,"Denmark, Government of",,Capacity building of red crescent: Psycosocial and IHL (46.H.7-1-194.),Coordination and support services,352189.00,Commitment,2012
92031,"Denmark, Government of",International Committee of the Red Cross,"ICRC appeal: Afghanistan health, food aid, IHL (46.H.7-1-194.",,1760941.00,Commitment,2012
92057,"Afghanistan, Government of",Office for the Coordination of Humanitarian Affairs,OCHA's operational activities (OCT 3735),Coordination and support services,1000.00,Commitment,2012
92058,"United States of America, Government of",iMMAP,Knowledge and Common Operating Picture transfer for humanitarian information management (USAID/OFDA),Coordination and support services,593244.00,Commitment,2012
92059,"United States of America, Government of",iMMAP,Humanitarian Coordination and Information Management (USAID/OFDA),Coordination and support services,1404831.00,Commitment,2012
92060,"United States of America, Government of",,Locally and Regionally Procured Emergency Food Assistance (USAID/FFP),Food Security,8903291.00,Commitment,2012
92061,"United States of America, Government of",Tearfund,Emergency Support to Drought and floods affected Families - Jawzjan Province (USAID/OFDA),Food Security,399696.00,Paid Contribution,2012
92064,"United States of America, Government of",International Organization for Migration,"Humanitarian Coordination, strategic planning and information management in the Emergency Shelter & NFIs (ES&NFIs) Cluster in Afghanistan (USAID/OFDA)",Coordination and support services,1134000.00,Paid Contribution,2012
92065,"United States of America, Government of",International Organization for Migration,Shelter and NFIs Humanitarian Assistance to Natural Disasters in Afghanistan (USAID/OFDA),Emergency Shelter and NFI,4727037.00,Paid Contribution,2012
92066,"United States of America, Government of",International Organization for Migration,"Humanitarian Coordination and Information Management, Logistics and Relief Commodities (USAID/OFDA) [not CAP-related]",,1636963.00,Paid Contribution,2012
92067,"Denmark, Government of",Danish Refugee Council,"Demining and capacity building of Mine Action Coordination Centre, Afghanistan (46.H.7-3-182.)",Protection - Mine Action,1582444.00,Commitment,2012
92068,"Denmark, Government of",Danish Refugee Council,First phase of 3 years strategic programme for protection and reintegration of refugees and IDP's in Afghanistan and Pakistan (Regions of Origins Initiative) (46.H.7-3-182.),Protection,1584848.00,Commitment,2012
92159,"Czech Republic, Government of","Afghanistan, Government of",Quick Impact Humanitarian Projects (93574/2012-ORS),,159183.00,Paid Contribution,2012
92231,"United States of America, Government of",,Humanitarian Assistance (STATE/PRM),,16724608.00,Commitment,2012
92302,Afghanistan ERF (until 2014),EMERGENCY - Life Support for Civilian War Victims ONG Onlus,Access to life saving health and referral services for people affected by conflict in Helmand and Maidan-Wardak provinces,Health,187470.00,Paid Contribution,2012
92303,Afghanistan ERF (until 2014),People in Need,Emergency Relief through Cash for Work: Hazrat-e Sultan and Khuram-wa Sarbagh Districts of Samangan,Agriculture,499937.00,Paid Contribution,2012
92304,Afghanistan ERF (until 2014),Afghanaid,Emergency Relief through Cash for Work: Feroz Nakhchir and Aybak Districts of Samangan,Agriculture,491206.00,Paid Contribution,2012
92305,Afghanistan ERF (until 2014),Khuram and Sarbagh Rehabilitation Organization,Emergency Floods Response (Retaining Wall Construction),Early Recovery,299103.00,Paid Contribution,2012
92306,Afghanistan ERF (until 2014),Afghan Global Development Organization,Emergency Response (Cash for Work / Manmade Road Rehabilitation) 200 Kanda cleaning,Early Recovery,266001.00,Paid Contribution,2012
92307,Afghanistan ERF (until 2014),Afghanistan Development & Educational Organization,Emergency Response through Cash for Work Activities through Manmade Road Rehabilitation for drought affected population,Early Recovery,313000.00,Paid Contribution,2012
92308,Afghanistan ERF (until 2014),Danish Refugee Council,Lifesaving winter assistance in Kabul Informal Settlements (KIS),Emergency Shelter and NFI,112390.00,Paid Contribution,2012
92309,Afghanistan ERF (until 2014),Afghanaid,"Emergency Water, Sanitation and Hygiene response to the drought affected population of Samangan province in Afghanistan",Water Sanitation Hygiene,309776.00,Paid Contribution,2012
92411,"Norway, Government of",International Media Support,AFG-11/0021/Human rights - Afghanistan media safety,Protection,383828.00,Paid Contribution,2012
92413,"Norway, Government of",ACT Alliance / Norwegian Church Aid,AFG-11/0045/Emergency food assistance to drought-affected Faryab and Daikundi provinces,Food Security,972364.00,Paid Contribution,2012
92414,"Norway, Government of",Afghanistan Landmine Survivors' Organisation,AFG-11/0046/Rehabilitation of women landmine victims - Basic life skills for youth and adults,"Protection - Housing, Land and Property",32412.00,Paid Contribution,2012
92480,"Germany, Government of",United Nations High Commissioner for Refugees,Assistance to voluntary repatriation of refugees and reintegration of returnees in Afghanistan (VN05 321.50 AFG 01/12),Multi-sector,1291990.00,Paid Contribution,2012
92618,"Denmark, Government of",Danish Red Cross,"IFRC and ICRC, drought in Afghanistan",,176298.00,Commitment,2012
92731,"Japan, Government of",United Nations High Commissioner for Refugees,Return and Reintegration of Afghan Refugees in Afghanistan,Multi-sector,20000000.00,Paid Contribution,2012
92826,"Finland, Government of",International Committee of the Red Cross,Aid to victims of floods & conflict,,1048493.00,Paid Contribution,2012
92842,"Japan, Government of",World Food Programme,Common Humanitarian Air Transport Services,Logistics,1000000.00,Paid Contribution,2012
92906,"Japan, Government of",International Committee of the Red Cross,ICRC Emergency Appeal,,20000000.00,Paid Contribution,2012
92914,"Japan, Government of",United Nations Mine Action Service,Deployment of two mechanical units supported by three manual demining teams Japanese donated machines in two provinces removing 0.22 square kilometers of hazard; Clearance of all known remaining hazards in Bamyan covering 1.89 sqkm with the deployment of 17 manual demining teams; Effective coordination and delivery of annual Integrated Operational Plan),Protection - Mine Action,4000000.00,Paid Contribution,2012
92920,"Japan, Government of",United Nations Children's Fund,"Provision of emergency nutrition services to children under 5, pregnant and lactating women affected by natural and man-made disasters",Health,2973312.00,Paid Contribution,2012
92993,"Finland, Government of",HALO Trust,Support to HALO Trust's humanitarian mine clearance activities in  Afghanistan,Protection - Mine Action,938338.00,Commitment,2012
93002,"Japan, Government of",International Federation of Red Cross and Red Crescent Societies,Food aid,Food Security,2790000.00,Paid Contribution,2012
93053,"Japan, Government of",International Organization for Migration,Immediate Post-arrival Assistance to the Vulnerable Undocumented Afghan Returnees from Iran (part of $10 million contribution),Protection,7974998.00,Paid Contribution,2012
93065,Swiss Solidarity,MEDAIR,Integrated Nutritional Treatment and Community Health & Nutrition Education Project in Badakhshan Province,Health,500758.00,Commitment,2012
93066,Swiss Solidarity,MEDAIR,Emergency WASH Access and Protection,Water Sanitation Hygiene,644595.00,Commitment,2012
93067,Swiss Solidarity,MEDAIR,Emergency WASH Directly Supporting Ongoing Emergency Nutrition Programme,Water Sanitation Hygiene,683880.00,Commitment,2012
93113,"Switzerland, Government of",International Committee of the Red Cross,Humanitarian assistance,,3536453.00,Commitment,2012
93151,"Switzerland, Government of",United Nations High Commissioner for Refugees,"Voluntary repatriation, initial return assistance to returning refugees",Multi-sector,544070.00,Paid Contribution,2012
93221,"Germany, Government of",World Food Programme,Common Humanitarian Air Transport Services (VN05 321.50 AFG 06/12),Logistics,469169.00,Paid Contribution,2012
93365,Afghanistan ERF (until 2014),Danish Refugee Council,Phase II of Lifesaving winter assistance in Kabul Informal Settlements (KIS),Emergency Shelter and NFI,216213.00,Commitment,2012
